subject,Naive Bayes,Logistic Regression,k-NN,Multilayer Perceptron,Random Forest,SVM (Linear),SVM (RBF)
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,0.8,0.5,0.5,0.5,0.5,0.5,1.0
212,0.5,0.5,0.5,0.5,0.5,0.5,0.8
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,0.8,0.8,0.8,0.8,0.8,0.8,1.0
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,1.0,1.0,1.0,1.0,1.0,1.0,1.0
218,0.8,0.8,0.8,0.8,0.8,0.8,0.8
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,1.0,1.0,1.0,1.0,1.0,1.0,1.0
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,0.8,0.8,0.8,0.8,0.8,0.8,0.5
224,0.5,0.5,0.5,0.5,0.5,0.5,0.5
225,0.5,0.0,0.5,0.0,0.5,0.5,1.0
226,0.5,0.5,0.5,0.5,0.5,0.5,0.5
227,0.0,0.0,0.0,0.0,0.0,0.0,0.8
228,0.8,0.8,0.8,0.8,0.8,0.8,0.0
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0,0.0,0.0,1.0
231,0.5,0.0,0.5,0.0,0.5,0.5,0.0
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,0.8,0.5,0.8,0.8,0.8,0.8,0.8
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,0.8,0.8,0.8,0.8,0.8,0.8,0.5
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,1.0,1.0,1.0,1.0,1.0,1.0,1.0
239,0.8,0.8,0.8,0.8,0.8,0.8,1.0
240,1.0,0.8,1.0,0.8,1.0,1.0,0.8
241,0.5,0.5,0.5,0.5,0.5,0.5,0.8
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,0.5,0.5,0.5,0.5,0.5,0.5,0.8
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,0.8,0.8,0.8,0.8,0.8,0.8,0.8
248,0.5,0.5,0.5,0.5,0.5,0.5,1.0
249,0.5,0.0,0.5,0.0,0.5,0.5,0.8
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
