subject,Naive Bayes,Logistic Regression,k-NN,Multilayer Perceptron,Random Forest,SVM (Linear),SVM (RBF)
0,1.0,0.67,1.0,0.67,1.0,1.0,1.0
1,0.67,0.67,0.67,0.67,0.67,0.67,0.0
2,0.67,0.33,0.67,0.33,0.67,0.67,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,0.67
4,0.0,0.0,0.0,0.0,0.0,0.0,0.67
5,0.33,0.33,0.33,0.33,0.33,0.33,0.67
6,0.33,0.33,0.33,0.33,0.33,0.33,0.33
7,0.33,0.33,0.33,0.33,0.33,0.33,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.67
9,0.67,0.67,0.67,0.67,0.67,0.67,0.33
10,1.0,0.67,0.67,0.67,0.67,0.67,0.67
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.67,0.67,0.67,0.67,0.67,0.67,0.67
13,0.67,0.33,0.67,0.33,0.67,0.67,1.0
14,0.0,0.33,0.0,0.33,0.0,0.0,0.0
15,1.0,0.67,1.0,0.67,1.0,1.0,0.67
16,0.33,0.33,0.33,0.33,0.33,0.33,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.67
19,1.0,0.67,1.0,0.67,1.0,1.0,1.0
20,0.67,0.33,0.67,0.33,0.67,0.67,0.67
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,0.67,0.67,0.67,0.67,0.67,0.67,0.0
24,0.33,0.67,0.33,0.67,0.33,0.33,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,0.67,0.67,0.67,0.67,0.67,0.67,0.33
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.67,0.33,0.67,0.33,0.67,0.67,0.33
29,1.0,1.0,1.0,1.0,1.0,1.0,0.67
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.33,0.67,0.67,0.67,0.67,0.67,0.0
34,0.33,0.67,0.67,0.67,0.67,0.67,0.0
35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
36,0.67,0.67,0.67,0.67,0.67,0.67,0.33
37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0,1.0,0.0
40,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41,0.33,0.33,0.33,0.33,0.33,0.33,0.33
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.0,1.0,1.0,1.0,1.0,1.0,0.33
44,0.67,0.33,0.67,0.33,0.67,0.67,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.33,0.33,0.33,0.33,0.33,0.33,1.0
47,0.67,0.67,0.67,0.67,0.67,0.67,0.67
48,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,0.67,0.67,0.67,0.67,0.67,0.67,0.33
51,0.33,0.0,0.33,0.33,0.33,0.33,0.33
52,0.67,0.67,0.67,0.67,0.67,0.67,0.33
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,0.67,0.67,0.67,0.67,0.67,0.67,0.0
55,0.67,0.67,0.67,0.67,0.67,0.67,0.67
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,0.67,0.67,0.67,0.67,0.67,0.67,1.0
58,0.33,0.0,0.33,0.0,0.33,0.33,0.67
59,0.67,0.67,0.67,0.67,0.67,0.67,1.0
60,0.33,0.33,0.33,0.33,0.33,0.33,1.0
61,1.0,1.0,1.0,1.0,1.0,1.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,0.33,0.33,0.33,0.33,0.33,0.33,0.67
64,0.67,0.67,0.67,0.67,0.67,0.67,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.67,0.33,0.67,0.33,0.67,0.67,1.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.33
68,0.67,0.33,0.67,0.33,0.67,0.67,0.0
69,0.67,0.67,0.67,0.67,0.67,0.67,0.0
70,1.0,1.0,1.0,1.0,1.0,1.0,0.33
71,0.67,0.67,0.67,0.67,0.67,0.67,0.33
72,1.0,1.0,1.0,1.0,1.0,1.0,0.33
73,0.67,0.67,0.67,0.67,0.67,0.67,0.33
74,1.0,1.0,1.0,1.0,1.0,1.0,0.33
75,0.0,0.33,0.0,0.33,0.0,0.0,0.0
76,0.67,0.67,0.67,0.67,0.67,0.67,0.67
77,1.0,1.0,1.0,1.0,1.0,1.0,0.0
78,0.0,1.0,0.33,1.0,0.33,0.33,0.0
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1.0,1.0,1.0,1.0,1.0,1.0,0.67
83,0.67,0.67,0.67,0.67,0.67,0.67,0.67
84,1.0,1.0,1.0,1.0,1.0,1.0,0.0
85,0.67,0.67,0.67,0.67,0.67,0.67,0.0
86,0.67,0.67,0.67,0.67,0.67,0.67,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.33,0.33,0.33,0.33,0.33,0.33,0.67
89,0.33,0.67,0.33,0.67,0.33,0.33,1.0
90,0.33,0.33,0.33,0.33,0.33,0.33,0.67
91,0.33,0.33,0.33,0.33,0.33,0.33,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.33
93,0.67,0.67,0.67,0.67,0.67,0.67,0.0
94,0.33,0.33,0.33,0.33,0.33,0.33,0.67
95,0.67,0.67,0.67,0.67,0.67,0.67,1.0
96,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,0.67,0.67,0.67,0.67,0.67,0.67,0.67
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,0.67,0.67,0.67,0.67,0.67,0.67,0.0
101,1.0,1.0,1.0,1.0,1.0,1.0,0.33
102,1.0,0.67,1.0,0.67,1.0,1.0,1.0
103,0.33,0.33,0.33,0.33,0.33,0.33,0.0
104,1.0,1.0,1.0,1.0,1.0,1.0,0.0
105,0.67,0.67,0.67,0.67,0.67,0.67,1.0
106,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.33,0.0,0.33,0.33,0.33,0.33,0.33
109,0.67,0.67,0.67,0.67,0.67,0.67,1.0
110,1.0,1.0,1.0,1.0,1.0,1.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1.0,1.0,1.0,1.0,1.0,1.0,1.0
113,0.67,0.67,0.67,0.67,0.67,0.67,0.0
114,0.33,0.33,0.33,0.33,0.33,0.33,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.67,0.67,0.67,0.67,0.67,0.67,0.0
117,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,0.67,0.33,0.33,0.33,0.33,0.33,1.0
121,0.33,0.33,0.33,0.33,0.33,0.33,0.0
122,0.33,0.0,0.33,0.0,0.33,0.33,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,0.0,0.33,0.0,0.33,0.0,0.0,1.0
126,0.67,0.67,0.67,0.67,0.67,0.67,0.67
127,1.0,0.67,1.0,0.67,1.0,1.0,1.0
128,0.0,0.0,0.0,0.0,0.0,0.0,1.0
