subject,Naive Bayes,Logistic Regression,k-NN,Multilayer Perceptron,Random Forest,SVM (Linear),SVM (RBF)
129,1.0,1.0,1.0,1.0,1.0,1.0,0.33
130,0.33,0.33,0.33,0.33,0.33,0.33,0.33
131,1.0,1.0,1.0,1.0,1.0,1.0,0.67
132,0.67,0.67,0.67,0.67,0.67,0.67,1.0
133,0.33,0.33,0.33,0.33,0.33,0.33,0.0
134,1.0,0.33,0.67,0.33,0.67,0.67,0.0
135,0.67,0.67,0.67,0.67,0.67,0.67,0.0
136,0.67,0.67,0.67,0.67,0.67,0.67,0.67
137,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138,0.33,0.0,0.33,0.0,0.33,0.33,0.67
139,1.0,0.67,0.67,0.67,0.67,0.67,1.0
140,0.67,0.67,0.67,0.67,0.67,0.67,0.33
141,0.67,0.33,0.33,0.33,0.33,0.33,1.0
142,0.67,0.67,0.67,0.67,0.67,0.67,0.0
143,0.67,0.67,0.67,0.67,0.67,0.67,0.33
144,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145,1.0,0.67,1.0,0.67,1.0,1.0,1.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.67
147,1.0,0.67,1.0,0.67,1.0,1.0,1.0
148,0.67,0.67,0.67,0.67,0.67,0.67,0.67
149,0.67,0.67,0.67,0.67,0.67,0.67,0.33
150,1.0,1.0,1.0,1.0,1.0,1.0,1.0
151,0.67,0.67,0.67,0.67,0.67,0.67,0.0
152,1.0,1.0,1.0,1.0,1.0,1.0,1.0
153,0.33,0.33,0.33,0.33,0.33,0.33,0.67
154,1.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.33,0.33,0.33,0.33,0.33,0.33,0.0
156,0.0,1.0,1.0,1.0,1.0,1.0,0.0
157,0.67,0.67,0.67,0.67,0.67,0.67,0.67
158,0.33,0.33,0.33,0.33,0.33,0.33,0.67
159,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,0.67,0.67,0.67,0.67,0.67,0.67,0.33
161,0.33,0.33,0.33,0.33,0.33,0.33,0.0
162,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163,0.33,1.0,0.33,1.0,0.33,0.33,0.67
164,1.0,1.0,1.0,1.0,1.0,1.0,0.67
165,1.0,0.67,1.0,0.67,1.0,1.0,0.0
166,0.67,0.67,0.67,0.67,0.67,0.67,1.0
167,0.67,0.33,0.67,0.33,0.67,0.67,0.0
168,0.33,0.33,0.33,0.33,0.33,0.33,1.0
169,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170,1.0,1.0,1.0,1.0,1.0,1.0,1.0
171,0.67,0.33,0.67,0.33,0.67,0.67,1.0
172,1.0,1.0,1.0,1.0,1.0,1.0,1.0
173,1.0,1.0,1.0,1.0,1.0,1.0,0.0
174,0.67,0.0,0.0,0.0,0.0,0.0,1.0
175,0.67,0.33,0.33,0.33,0.33,0.33,0.33
176,1.0,0.67,1.0,0.67,1.0,1.0,0.33
177,0.33,0.33,0.33,0.33,0.33,0.33,0.67
178,0.67,0.67,0.67,0.67,0.67,0.67,1.0
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0.67,0.67,0.67,0.67,0.67,0.67,0.0
182,1.0,1.0,1.0,1.0,1.0,1.0,1.0
183,0.33,0.33,0.33,0.33,0.33,0.33,0.33
184,0.33,0.0,0.33,0.0,0.33,0.33,0.0
185,1.0,0.67,1.0,0.67,1.0,1.0,0.33
186,0.67,0.67,0.67,0.67,0.67,0.67,1.0
187,0.67,0.67,0.67,0.67,0.67,0.67,0.0
188,0.67,0.33,0.67,0.33,0.67,0.67,0.33
189,1.0,1.0,1.0,1.0,1.0,1.0,1.0
190,1.0,0.67,1.0,1.0,1.0,1.0,1.0
191,0.0,0.0,0.0,0.0,0.0,0.0,0.67
192,0.33,0.33,0.33,0.33,0.33,0.33,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.67
194,1.0,1.0,1.0,1.0,1.0,1.0,0.0
195,0.0,0.33,0.33,0.33,0.33,0.33,0.0
196,0.67,1.0,0.67,1.0,0.67,0.67,1.0
197,0.33,0.33,0.33,0.33,0.33,0.33,0.0
198,0.0,1.0,1.0,1.0,1.0,1.0,0.0
199,1.0,1.0,1.0,1.0,1.0,1.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,0.33,0.33,0.33,0.33,0.33,0.33,0.0
202,0.67,0.0,0.0,0.0,0.0,0.0,0.0
203,0.33,0.67,0.67,0.67,0.67,0.67,0.67
204,0.67,0.67,0.67,0.67,0.67,0.67,1.0
205,0.67,0.33,0.67,0.33,0.67,0.67,0.0
206,1.0,0.67,1.0,0.67,1.0,1.0,1.0
207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
208,1.0,1.0,1.0,1.0,1.0,1.0,1.0
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,0.33,1.0,1.0,1.0,1.0,1.0,0.0
211,0.67,0.33,0.33,0.33,0.33,0.33,1.0
212,0.33,0.33,0.33,0.33,0.33,0.33,0.67
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,0.67,0.67,0.67,0.67,0.67,0.67,1.0
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,0.33,0.33,0.33,0.33,0.33,0.33,0.0
217,1.0,1.0,1.0,1.0,1.0,1.0,1.0
218,0.67,0.67,0.67,0.67,0.67,0.67,0.67
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,1.0,1.0,1.0,1.0,1.0,1.0,1.0
221,0.0,0.0,0.0,0.0,0.0,0.0,1.0
222,0.0,1.0,0.0,1.0,0.0,0.0,0.0
223,0.67,0.67,0.67,0.67,0.67,0.67,0.33
224,0.33,0.33,0.33,0.33,0.33,0.33,0.33
225,0.33,0.0,0.33,0.0,0.33,0.33,1.0
226,0.33,0.33,0.33,0.33,0.33,0.33,0.33
227,0.0,0.0,0.0,0.0,0.0,0.0,0.67
228,0.67,0.67,0.67,0.67,0.67,0.67,0.0
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0,0.0,0.0,1.0
231,0.33,0.0,0.33,0.0,0.33,0.33,0.0
232,0.33,0.33,0.33,0.33,0.33,0.33,0.0
233,0.67,0.33,0.67,0.67,0.67,0.67,0.67
234,1.0,1.0,1.0,1.0,1.0,1.0,1.0
235,0.33,0.67,0.67,0.67,0.67,0.67,1.0
236,0.67,0.67,0.67,0.67,0.67,0.67,0.33
237,1.0,1.0,1.0,1.0,1.0,1.0,1.0
238,1.0,1.0,1.0,1.0,1.0,1.0,1.0
239,0.67,0.67,0.67,0.67,0.67,0.67,1.0
240,1.0,0.67,1.0,0.67,1.0,1.0,0.67
241,0.33,0.33,0.33,0.33,0.33,0.33,0.67
242,0.0,0.0,0.0,0.0,0.0,0.0,1.0
243,0.33,0.33,0.33,0.33,0.33,0.33,0.67
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,0.33,0.67,0.33,0.67,0.33,0.33,0.0
246,0.33,0.67,0.33,0.67,0.33,0.33,0.0
247,0.67,0.67,0.67,0.67,0.67,0.67,0.67
248,0.33,0.33,0.33,0.33,0.33,0.33,1.0
249,0.33,0.0,0.33,0.0,0.33,0.33,0.67
250,0.33,0.33,0.33,0.33,0.33,0.33,1.0
251,0.0,0.0,0.0,0.0,0.0,0.0,1.0
