1,2,3,4,5,6,7,8,9,10,11,12
0.0,51.5,49.0,2.7,147.0,0.5,0.0,0.0,0.0,2.2,0.6,0.6
0.0,26.8,35.8,1.9,16.7,90.2,0.0,24.6,17.1,0.0,0.0,0.5
0.0,18.0,43.9,37.2,12.1,0.0,0.0,0.0,0.8,0.0,0.3,0.0
0.0,1.1,2.8,33.4,4.3,0.3,0.0,0.0,0.8,1.0,0.0,0.0
0.0,26.9,0.0,0.1,4.0,0.0,0.0,0.0,0.3,5.7,0.0,6.8
0.0,0.2,32.6,4.4,0.5,0.7,0.0,0.0,6.4,3.6,0.6,19.4
0.0,6.2,2.6,36.0,0.0,5.4,1.8,0.0,0.0,0.0,0.4,0.9
0.0,7.5,13.8,3.0,11.6,0.2,0.0,0.3,0.0,0.0,0.0,0.0
0.0,2.6,83.4,7.7,4.8,0.5,3.3,0.0,0.0,0.4,0.0,0.0
0.0,0.0,68.2,65.7,11.0,0.0,1.6,0.0,0.0,6.4,0.0,0.0
0.0,7.5,1.1,2.1,4.1,5.2,0.7,0.6,2.8,0.5,0.0,2.0
0.0,0.0,53.6,3.0,0.0,0.0,0.7,0.0,1.4,0.0,0.0,0.0
0.0,4.6,2.9,7.3,15.6,0.0,0.0,0.0,0.3,0.3,0.0,0.0
0.0,14.2,12.5,2.2,3.0,0.8,0.0,0.0,0.6,0.0,0.0,1.2
42.4,0.0,29.2,2.7,0.0,36.2,10.2,0.0,0.0,0.0,0.0,0.0
29.1,0.0,0.1,50.5,1.2,20.6,0.0,0.0,0.0,0.8,0.3,0.3
0.0,1.4,1.0,42.4,0.0,3.4,4.3,0.0,11.1,0.1,0.0,2.8
19.2,0.8,7.1,1.8,33.1,0.4,0.0,0.0,6.0,0.0,0.1,0.0
15.1,0.9,1.2,0.0,3.0,24.0,4.5,0.0,0.0,0.0,0.0,0.4
1.4,0.1,17.6,0.2,0.0,0.2,0.5,0.3,0.0,0.0,0.0,1.2
0.0,0.0,22.9,36.4,69.0,1.3,0.5,0.0,0.0,0.2,0.0,1.0
26.1,11.9,4.6,25.6,9.2,11.2,0.0,0.0,1.9,0.2,1.3,0.4
2.4,0.0,34.8,5.6,49.2,1.0,0.0,0.0,10.4,0.2,0.9,1.4
1.2,1.8,3.9,37.6,0.0,0.3,0.0,0.0,0.0,0.0,0.5,1.0
20.3,0.0,0.0,14.0,34.8,0.0,0.0,0.0,0.5,0.0,0.0,0.7
15.0,9.6,62.3,30.4,29.2,11.0,0.0,1.8,0.0,0.0,0.1,23.8
52.9,17.0,0.4,46.2,8.3,0.0,1.2,5.0,0.0,0.0,0.2,0.0
64.2,0.8,0.0,99.4,12.7,0.4,0.0,0.0,2.7,1.5,3.0,5.0
17.1,0.0,0.0,7.5,4.2,0.0,0.0,0.7,1.6,0.0,0.0,0.2
11.3,0.0,0.0,1.0,10.4,7.8,0.0,1.2,0.2,0.0,26.6,0.0
12.6,0.0,10.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,4.8
0.0,0.0,30.4,17.4,0.3,7.6,0.0,0.0,0.8,0.0,0.0,0.1
2.0,0.0,27.0,1.3,6.1,1.4,0.6,0.0,0.0,0.0,0.0,0.0
0.0,15.4,5.2,2.0,12.2,1.1,0.0,1.6,0.6,0.0,0.0,3.1
3.7,0.7,7.2,18.6,2.0,0.0,0.7,0.5,0.0,0.0,0.0,11.1
0.0,1.0,21.0,1.2,60.1,0.0,5.0,0.0,0.0,19.7,0.0,0.7
0.4,0.0,51.1,0.0,8.1,0.0,39.9,0.0,14.3,0.0,0.0,25.8
3.0,0.0,1.9,0.4,1.0,0.0,0.0,0.0,36.7,2.8,0.8,6.0
1.5,0.0,22.2,0.0,0.1,0.0,1.1,0.0,3.9,0.9,0.0,7.2
0.0,3.5,26.9,0.0,0.0,0.1,2.4,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.2,0.0,15.5,0.0,0.0,0.0,0.0,0.9
1.6,0.0,5.8,0.5,15.2,0.4,31.1,0.0,0.0,0.0,0.0,3.7
0.0,0.0,0.7,4.7,6.9,13.3,2.0,0.0,1.3,0.0,0.2,9.1
0.4,1.1,17.9,1.8,20.0,17.3,0.4,0.0,0.0,0.0,0.0,0.0
0.0,3.3,68.2,1.1,17.0,0.2,0.0,0.0,0.0,0.0,0.0,1.2
0.0,33.2,13.4,40.7,18.5,5.3,0.0,0.0,0.0,0.0,0.1,0.0
7.0,15.2,0.0,21.4,17.9,0.2,0.6,0.0,0.0,0.0,4.0,0.0
6.6,0.4,32.7,9.9,0.4,17.1,24.6,1.2,0.0,0.0,0.0,0.0
1.8,1.8,20.7,7.8,7.2,14.2,0.0,0.0,0.8,0.0,0.2,0.4
4.2,1.0,0.8,12.4,0.0,3.2,0.8,0.0,0.0,0.0,0.0,0.0
1.2,0.9,0.3,19.0,0.4,0.0,5.8,1.0,0.0,0.0,1.1,6.8
0.0,0.0,13.0,36.6,4.3,7.4,0.0,0.0,0.0,0.0,0.1,0.0
0.0,45.0,28.7,14.5,1.0,14.7,0.9,0.0,0.0,0.2,0.0,0.0
25.4,12.0,24.8,6.7,37.0,0.9,2.5,0.1,0.0,0.0,0.0,0.0
0.0,0.0,13.1,23.0,37.7,6.3,0.0,0.4,0.0,0.0,0.0,0.4
2.2,0.2,13.3,0.2,11.2,5.1,0.0,1.8,0.0,0.3,0.4,0.0
0.3,0.6,0.5,0.0,0.8,3.6,0.0,0.3,0.0,0.0,0.0,0.0
0.0,5.0,0.0,5.7,24.3,17.9,0.0,0.0,0.0,0.0,0.1,0.2
3.5,0.0,0.0,4.0,3.3,5.6,0.0,0.4,0.0,0.0,5.6,6.9
0.0,0.0,0.0,10.5,24.2,3.8,0.6,0.0,0.0,0.0,0.0,0.5
20.2,0.0,0.3,3.0,30.6,3.5,0.0,1.4,0.0,0.4,0.0,0.0
17.3,0.0,4.5,0.0,6.3,0.0,0.0,0.0,0.0,0.3,0.0,6.3
0.1,0.3,0.0,1.0,0.7,0.8,2.0,0.0,0.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0
0.0,2.3,28.7,0.0,19.2,0.0,0.0,0.0,1.7,0.0,0.0,0.0
0.0,0.3,64.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.6,38.4,2.7,0.0,52.4,0.0,0.1,0.4,0.0,0.0
0.0,5.2,7.3,17.9,0.1,0.2,0.0,0.0,0.0,4.4,0.0,0.0
0.0,0.2,43.6,5.6,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.6,3.6,5.0,7.3,0.0,0.5,0.0,0.0,0.0,0.4,0.0
0.6,10.2,15.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.4,8.5,0.2,0.0,0.0,0.3,0.3,0.0,1.2,0.0,0.0
0.0,1.1,18.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,39.1,6.5,2.2,0.0,0.4,0.0,1.5,0.0,0.0,0.3,0.0
0.0,14.9,9.2,29.2,0.0,16.4,0.0,0.0,0.2,0.0,1.6,0.0
2.2,0.0,16.2,85.5,0.0,2.6,0.0,0.0,0.0,1.8,1.0,0.0
0.2,4.4,3.2,16.2,2.0,20.6,0.0,0.0,0.0,1.2,0.0,1.4
1.4,5.2,1.9,1.3,0.0,4.9,0.0,0.2,0.0,0.0,0.0,0.0
0.0,61.0,2.1,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
1.1,3.9,0.0,5.7,3.9,0.0,0.0,0.0,0.0,0.2,0.0,0.0
0.7,0.5,0.7,78.0,0.0,18.0,0.0,0.3,0.0,0.0,13.6,4.9
6.3,17.3,0.0,0.6,0.0,0.1,0.0,0.0,0.4,0.0,2.4,3.9
0.0,49.1,9.0,11.6,0.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0
0.0,39.7,12.8,6.5,16.9,7.4,0.0,21.6,0.0,0.0,0.0,0.0
0.0,28.5,0.0,5.3,0.4,0.0,0.0,3.4,0.0,0.8,1.1,0.0
2.0,14.1,25.5,15.1,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.6
0.0,0.0,12.5,1.4,5.5,0.0,0.5,0.0,0.2,0.0,0.1,0.0
0.9,0.2,4.7,0.0,3.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,15.2,3.1,67.4,1.1,0.0,0.1,0.0,1.5,1.8,0.0
0.0,0.0,0.6,3.3,1.3,0.0,8.8,0.0,0.0,1.6,0.0,3.2
0.0,0.0,24.5,0.7,0.6,0.0,3.8,1.0,0.0,0.0,0.0,0.0
44.2,0.0,3.4,0.0,0.9,0.0,2.8,0.0,0.0,0.0,0.0,4.4
0.5,22.0,0.0,18.6,0.7,67.8,4.8,3.6,1.4,0.0,0.0,0.0
0.2,0.0,0.0,0.2,0.6,168.0,0.0,0.0,0.0,9.2,0.1,0.0
1.3,0.0,0.5,0.3,13.1,49.0,0.0,0.0,0.0,0.2,0.0,0.0
1.1,2.8,33.5,0.2,4.0,46.0,0.0,0.0,0.0,0.8,0.0,0.0
0.0,25.9,22.0,24.3,3.5,1.1,55.1,2.0,0.0,2.4,0.0,0.0
0.3,29.2,5.0,0.0,16.0,3.6,12.4,0.4,0.0,0.0,0.0,0.0
0.3,12.5,0.3,0.1,1.2,2.7,0.7,0.0,0.0,0.0,0.0,0.0
1.2,1.5,8.0,0.7,5.6,33.0,4.2,0.0,0.0,0.0,0.0,0.0
1.0,9.5,18.0,19.6,3.0,9.2,3.4,0.0,0.0,0.0,0.0,0.0
